"Estimates","Q1 1990","Q2 1990","Q3 1990","Q4 1990","Q1 1991","Q2 1991","Q3 1991","Q4 1991","Q1 1992","Q2 1992","Q3 1992","Q4 1992","Q1 1993","Q2 1993","Q3 1993","Q4 1993","Q1 1994","Q2 1994","Q3 1994","Q4 1994","Q1 1995","Q2 1995","Q3 1995","Q4 1995","Q1 1996","Q2 1996","Q3 1996","Q4 1996","Q1 1997","Q2 1997","Q3 1997","Q4 1997","Q1 1998","Q2 1998","Q3 1998","Q4 1998","Q1 1999","Q2 1999","Q3 1999","Q4 1999","Q1 2000","Q2 2000","Q3 2000","Q4 2000","Q1 2001","Q2 2001","Q3 2001","Q4 2001","Q1 2002","Q2 2002","Q3 2002","Q4 2002","Q1 2003","Q2 2003","Q3 2003","Q4 2003","Q1 2004","Q2 2004","Q3 2004","Q4 2004","Q1 2005","Q2 2005","Q3 2005","Q4 2005","Q1 2006","Q2 2006","Q3 2006","Q4 2006","Q1 2007","Q2 2007","Q3 2007","Q4 2007","Q1 2008","Q2 2008","Q3 2008","Q4 2008","Q1 2009","Q2 2009","Q3 2009","Q4 2009","Q1 2010","Q2 2010","Q3 2010","Q4 2010","Q1 2011","Q2 2011","Q3 2011","Q4 2011","Q1 2012","Q2 2012","Q3 2012","Q4 2012","Q1 2013","Q2 2013","Q3 2013","Q4 2013","Q1 2014","Q2 2014","Q3 2014","Q4 2014","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018"
"","Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cannabis  [C123]","2,984","2,973","2,966","2,962","2,955","2,951","2,948","2,951","2,952","2,955","2,962","2,969","2,982","2,996","3,013","3,030","3,054","3,075","3,099","3,126","3,150","3,177","3,208","3,242","3,277","3,314","3,352","3,393","3,436","3,477","3,514","3,555","3,593","3,637","3,679","3,726","3,771","3,815","3,863","3,908","3,949","3,993","4,031","4,069","4,103","4,137","4,171","4,206","4,239","4,271","4,299","4,325","4,350","4,376","4,398","4,421","4,443","4,465","4,487","4,507","4,529","4,548","4,567","4,590","4,605","4,628","4,650","4,676","4,700","4,718","4,740","4,765","4,790","4,819","4,848","4,881","4,914","4,946","4,979","5,015","5,051","5,095","5,138","5,182","5,229","5,276","5,327","5,377","5,392","5,472","5,556","5,648","5,668","5,728","5,784","5,840","5,896","5,956","6,016","6,084","6,156","6,204","6,232","6,244","6,232","6,220","6,200","6,164","6,116","6,068","6,036","6,016","6,128"
"Clothing and footwear  [C13]","22,751","22,207","21,954","21,636","20,116","20,526","20,117","20,134","19,918","19,878","20,174","20,302","20,337","20,571","20,649","20,557","20,635","20,840","21,342","21,633","22,006","22,150","22,115","21,694","21,826","22,062","22,148","22,309","22,501","22,251","22,718","22,665","23,144","23,136","23,290","23,171","23,544","23,760","24,019","24,048","24,635","24,840","25,396","25,405","25,599","26,202","25,728","26,415","26,912","26,991","26,663","27,204","27,741","28,066","28,134","27,903","28,602","28,693","29,131","28,897","29,742","30,045","29,862","30,404","31,495","32,069","32,528","32,680","33,421","33,564","34,194","34,362","34,658","35,263","35,282","35,393","34,921","35,139","35,287","35,275","37,633","37,096","38,505","38,670","38,822","39,118","39,682","40,172","40,556","40,212","40,855","40,904","41,579","41,364","42,380","43,310","42,344","43,221","43,967","44,331","44,337","45,291","45,562","46,373","46,837","46,138","45,834","46,100","46,724","47,832","48,254","48,636","48,432"
"Clothing  [C131]","19,421","18,998","18,758","18,490","17,227","17,503","17,123","17,171","16,996","16,907","17,111","17,307","17,274","17,484","17,512","17,543","17,477","17,686","18,121","18,500","18,825","18,865","18,848","18,546","18,754","18,898","18,900","19,092","19,351","19,063","19,399","19,344","19,729","19,712","19,922","19,854","20,124","20,289","20,516","20,655","21,061","21,277","21,697","21,758","21,931","22,365","21,907","22,550","22,937","23,025","22,751","23,176","23,669","24,000","24,050","23,769","24,373","24,473","24,887","24,680","25,428","25,614","25,462","25,910","26,809","27,353","27,668","27,814","28,441","28,607","29,123","29,213","29,590","30,068","30,015","30,100","29,672","29,921","30,017","29,930","32,078","31,600","32,925","32,976","33,032","33,320","33,798","34,326","34,528","34,176","34,756","34,708","35,282","35,100","35,987","36,718","35,964","36,557","37,124","37,292","37,435","38,196","38,387","38,987","39,327","38,884","38,461","38,568","39,152","40,052","40,566","40,892","40,696"
"Footwear  [C132]","3,322","3,197","3,187","3,137","2,877","3,017","2,992","2,957","2,916","2,971","3,068","2,990","3,064","3,087","3,142","3,006","3,165","3,157","3,224","3,122","3,169","3,282","3,263","3,138","3,052","3,150","3,239","3,204","3,127","3,173","3,311","3,314","3,410","3,421","3,356","3,303","3,410","3,463","3,494","3,372","3,563","3,547","3,689","3,631","3,651","3,830","3,819","3,857","3,971","3,960","3,904","4,024","4,065","4,054","4,072","4,132","4,226","4,215","4,234","4,207","4,301","4,425","4,395","4,489","4,684","4,710","4,860","4,864","4,978","4,951","5,067","5,149","5,059","5,188","5,266","5,293","5,250","5,215","5,269","5,347","5,553","5,495","5,577","5,693","5,791","5,798","5,884","5,845","6,028","6,036","6,100","6,196","6,296","6,264","6,392","6,592","6,380","6,664","6,844","7,040","6,904","7,096","7,176","7,388","7,512","7,256","7,376","7,536","7,576","7,784","7,692","7,748","7,740"
"Housing, water, electricity, gas and other fuels  [C14]","128,680","130,632","131,892","132,594","133,072","134,170","135,538","136,037","136,825","137,891","138,237","140,111","141,202","141,661","143,019","144,550","146,206","145,525","145,955","146,544","147,416","148,306","149,087","149,852","150,909","151,945","152,530","153,430","153,678","154,988","155,048","155,179","155,204","156,177","157,492","157,858","159,251","160,377","161,451","161,477","162,949","164,494","165,800","167,166","167,062","167,415","168,144","168,525","170,691","173,017","173,796","176,385","177,607","178,488","180,141","181,110","182,876","183,736","185,779","187,944","189,132","190,263","192,145","192,822","193,747","195,351","197,426","198,169","200,970","203,061","204,521","206,456","207,798","209,072","211,002","212,456","214,071","214,961","216,288","218,176","218,884","220,242","222,991","224,287","226,034","228,038","229,819","229,591","231,054","232,534","234,403","236,813","237,829","239,543","241,606","244,336","246,346","246,965","248,040","250,118","253,448","253,674","255,422","256,937","258,386","260,276","262,193","263,687","265,564","268,027","270,191","272,262","274,221"
"Paid rental fees for housing  [C141]","27,789","28,056","28,351","28,590","28,802","29,022","29,186","29,336","29,541","29,764","29,922","30,097","30,309","30,473","30,643","30,807","30,923","31,077","31,246","31,421","31,591","31,660","31,702","31,744","31,919","32,083","32,284","32,470","32,651","32,828","33,031","33,218","33,356","33,509","33,657","33,879","34,096","34,278","34,421","34,648","34,766","34,939","35,156","35,309","35,481","35,644","35,866","36,117","36,377","36,696","37,010","37,236","37,522","37,841","38,169","38,524","38,820","39,069","39,342","39,619","39,882","40,136","40,409","40,700","41,069","41,383","41,693","41,979","42,302","42,629","42,942","43,243","43,569","43,930","44,299","44,720","45,098","45,476","45,798","46,159","46,520","46,872","47,314","47,653","47,980","48,332","48,654","48,946","49,355","49,647","50,019","50,375","50,740","51,180","51,564","51,992","52,372","52,756","53,148","53,608","54,136","54,580","55,024","55,444","55,904","56,380","56,872","57,336","57,772","58,236","58,684","59,184","59,608"
"Imputed rental fees for housing  [C142]","71,632","72,520","73,364","74,141","74,854","75,442","76,096","76,769","77,422","78,128","78,729","79,373","79,996","80,681","81,345","82,010","82,638","83,271","83,946","84,600","85,149","85,683","86,101","86,494","87,038","87,519","88,063","88,618","89,131","89,691","90,367","91,038","91,553","92,107","92,569","93,051","93,697","94,242","94,782","95,409","96,158","96,873","97,631","98,307","98,910","99,674","100,520","101,400","102,337","103,284","104,355","105,206","106,112","107,137","108,180","109,183","110,309","111,371","112,525","113,747","114,855","115,977","117,062","118,198","119,420","120,574","121,737","122,827","124,053","125,255","126,479","127,750","128,978","130,219","131,464","132,649","133,761","134,873","135,857","136,960","138,188","139,408","140,666","141,894","142,985","144,153","145,299","146,424","147,612","148,800","150,044","151,268","152,496","153,804","155,072","156,360","157,548","158,716","160,028","161,380","162,724","163,968","165,188","166,416","167,624","168,820","169,988","171,248","172,500","173,804","175,120","176,492","177,776"
"Maintenance and repair of the dwelling  [C143]","1,790","1,769","1,763","1,730","1,656","1,724","1,665","1,658","1,656","1,690","1,700","1,739","1,762","1,812","1,851","1,835","1,885","1,973","1,979","2,051","1,991","1,963","1,952","1,968","2,059","2,025","2,002","2,014","2,111","2,100","2,089","2,116","2,166","2,166","2,155","2,193","2,260","2,270","2,292","2,293","2,315","2,332","2,381","2,392","2,381","2,397","2,380","2,424","2,386","2,444","2,487","2,535","2,525","2,525","2,520","2,506","2,511","2,592","2,678","2,669","2,711","2,755","2,750","2,774","2,874","2,935","2,974","2,979","3,010","3,058","3,115","3,146","3,189","3,220","3,250","3,063","2,924","2,985","2,981","3,024","3,089","3,033","3,016","3,024","3,042","3,011","3,003","3,047","3,040","2,988","2,988","2,996","3,012","2,952","3,028","2,956","3,008","2,992","3,072","3,084","3,120","3,176","3,152","3,148","3,200","3,168","3,176","3,228","3,228","3,268","3,380","3,412","3,352"
"Water supply and sanitation services  [C144]","4,522","4,595","4,711","4,725","4,624","4,522","4,420","4,420","4,347","4,307","4,288","4,258","4,268","4,229","4,249","4,268","4,307","4,337","4,366","4,396","4,415","4,445","4,415","4,396","4,425","4,425","4,435","4,464","4,487","4,503","4,519","4,536","4,626","4,708","4,789","4,847","4,880","4,904","4,920","4,929","5,002","5,043","5,068","5,101","5,141","5,174","5,207","5,232","5,246","5,268","5,297","5,304","5,311","5,304","5,297","5,304","5,311","5,332","5,354","5,397","5,440","5,476","5,519","5,547","5,590","5,612","5,633","5,641","5,635","5,629","5,624","5,624","5,646","5,657","5,712","5,717","5,712","5,717","5,728","5,695","5,717","5,734","5,761","5,750","5,783","5,789","5,761","5,756","5,788","5,816","5,832","5,856","5,892","5,912","5,952","5,956","5,964","6,004","6,044","6,092","6,120","6,168","6,220","6,276","6,320","6,332","6,360","6,396","6,444","6,500","6,556","6,608","6,664"
"Electricity, gas and other fuels  [C145]","24,677","25,643","25,617","25,121","24,624","24,917","25,715","25,241","25,140","25,232","24,653","25,904","26,135","25,555","26,092","26,916","27,908","25,905","25,302","24,843","25,040","25,371","25,786","26,173","26,427","26,923","26,679","26,794","26,058","26,728","25,641","24,622","23,654","23,878","24,671","24,108","24,612","25,034","25,437","24,363","24,960","25,646","25,913","26,450","25,416","24,722","24,337","23,438","24,512","25,600","24,778","26,364","26,371","25,856","26,135","25,701","26,024","25,421","25,930","26,568","26,294","25,969","26,452","25,677","24,926","24,982","25,505","24,872","26,081","26,585","26,453","26,774","26,501","26,151","26,384","26,415","26,674","25,987","25,986","26,407","25,366","25,175","26,223","25,950","26,228","26,736","27,082","25,412","25,258","25,282","25,520","26,320","25,694","25,703","25,998","27,068","27,447","26,553","25,862","26,070","27,410","25,911","25,971","25,798","25,495","25,740","25,965","25,666","25,811","26,400","26,628","26,742","27,001"
"Furnishings, household equipment and other goods and services related to the dwelling and property  [C15]","29,298","28,813","28,456","28,290","26,353","27,148","26,767","26,744","26,707","26,896","26,957","27,267","27,574","27,593","27,813","27,829","28,565","28,944","29,150","29,807","29,598","29,235","29,397","29,025","29,499","29,360","29,371","29,908","30,629","31,036","31,461","31,462","32,363","32,524","32,628","32,946","33,260","33,500","34,122","34,161","34,936","35,295","35,750","35,984","36,774","36,822","36,987","37,903","38,730","39,123","39,094","39,956","40,370","40,758","41,162","41,480","42,537","42,874","43,615","43,808","44,544","45,059","45,219","45,865","47,231","48,123","48,812","49,369","50,177","50,657","51,099","52,004","52,500","52,936","53,628","52,233","50,951","50,748","51,417","52,179","53,286","52,911","52,488","52,902","52,637","53,300","53,311","53,687","53,840","53,444","53,484","53,632","54,272","54,483","55,088","55,202","55,450","56,737","57,503","57,470","57,396","57,464","57,673","58,282","58,612","58,529","58,599","59,433","60,512","61,523","61,776","62,433","62,325"
"Furniture, furnishings, carpets and other floor coverings  [C151]","7,824","7,646","7,426","7,547","6,592","6,911","6,814","6,632","6,534","6,538","6,397","6,456","6,590","6,538","6,567","6,547","6,744","6,836","6,831","6,954","7,025","6,895","6,955","6,855","6,915","6,904","6,926","7,151","7,453","7,564","7,702","7,711","8,023","8,030","8,022","8,134","8,307","8,394","8,643","8,656","8,931","9,108","9,204","9,274","9,688","9,578","9,682","9,968","10,248","10,303","10,313","10,749","10,753","10,789","10,957","11,061","11,466","11,514","11,821","11,899","12,146","12,234","12,160","12,476","13,079","13,323","13,498","13,699","13,985","14,163","14,263","14,522","14,678","14,771","14,963","14,315","13,634","13,530","14,047","14,425","15,020","14,685","14,425","14,614","14,489","15,129","15,051","15,147","15,316","15,156","15,112","15,056","15,320","15,308","15,102","15,119","15,262","16,284","16,528","16,556","16,356","16,553","16,745","17,066","17,250","17,294","17,034","17,510","17,906","17,950","18,167","18,538","18,539"
"Household textiles  [C152]","1,765","1,719","1,674","1,664","1,649","1,684","1,659","1,659","1,655","1,630","1,655","1,685","1,689","1,689","1,701","1,714","1,811","1,811","1,857","1,928","1,861","1,874","1,928","1,924","1,945","1,932","1,911","1,937","1,910","1,986","2,026","2,048","2,088","2,074","2,048","2,079","2,012","2,026","2,088","2,057","2,088","2,123","2,168","2,190","2,257","2,265","2,261","2,261","2,414","2,382","2,324","2,390","2,455","2,472","2,488","2,484","2,545","2,516","2,512","2,508","2,537","2,586","2,590","2,598","2,676","2,770","2,798","2,835","2,874","2,921","2,981","2,989","2,993","3,052","3,096","2,985","2,874","2,898","2,902","2,937","3,045","3,064","3,025","3,068","3,017","3,017","3,017","3,080","3,088","3,056","3,144","3,168","3,116","3,088","3,084","3,140","3,196","3,300","3,316","3,336","3,388","3,348","3,372","3,380","3,392","3,388","3,340","3,348","3,392","3,468","3,496","3,540","3,476"
"Household appliances  [C153]","2,836","2,744","2,730","2,717","2,431","2,645","2,670","2,702","2,727","2,769","2,818","2,860","2,887","2,849","2,894","2,846","2,874","2,951","2,937","3,062","3,031","2,950","2,943","2,890","2,947","2,918","2,961","3,051","3,122","3,206","3,272","3,280","3,387","3,411","3,471","3,525","3,606","3,630","3,704","3,745","3,807","3,873","3,895","3,891","4,009","4,044","4,054","4,245","4,321","4,442","4,408","4,501","4,533","4,636","4,729","4,770","4,881","4,874","5,018","4,957","5,129","5,241","5,284","5,413","5,634","5,737","5,873","5,940","6,116","6,185","6,311","6,498","6,635","6,711","6,899","6,787","6,632","6,612","6,773","6,940","6,907","6,800","6,786","6,960","6,942","7,014","6,947","6,993","6,996","6,960","6,992","7,076","7,268","7,440","7,569","7,557","7,769","7,849","7,923","7,724","7,780","7,632","7,559","7,700","7,776","7,777","8,010","8,049","8,446","8,670","8,614","8,903","8,971"
"Tools and equipment for house and garden  [C154]","2,768","2,738","2,728","2,667","2,474","2,485","2,425","2,410","2,379","2,396","2,424","2,467","2,524","2,618","2,662","2,671","2,782","2,866","2,892","2,985","2,928","2,906","2,911","2,910","3,029","3,006","2,971","3,015","3,192","3,193","3,206","3,197","3,291","3,273","3,273","3,325","3,343","3,335","3,352","3,335","3,405","3,423","3,512","3,555","3,591","3,609","3,578","3,680","3,716","3,712","3,737","3,810","3,877","3,922","3,921","3,908","4,023","4,101","4,213","4,277","4,287","4,369","4,393","4,439","4,554","4,722","4,770","4,836","4,843","4,879","4,907","5,037","5,075","5,103","5,212","4,952","4,809","4,818","4,790","4,837","4,965","4,915","4,813","4,813","4,875","4,916","4,994","4,998","5,008","4,960","4,924","4,880","4,948","5,028","5,156","5,304","5,125","5,249","5,344","5,316","5,235","5,168","5,117","5,293","5,293","5,216","5,328","5,512","5,640","5,860","5,753","5,596","5,688"
"Other goods and services related to the dwelling and property  [C155]","14,397","14,305","14,275","14,008","13,712","13,830","13,569","13,764","13,860","14,029","14,156","14,292","14,358","14,397","14,484","14,577","14,891","14,998","15,184","15,409","15,258","15,140","15,192","14,972","15,200","15,136","15,120","15,239","15,409","15,525","15,682","15,646","15,976","16,155","16,229","16,278","16,359","16,481","16,681","16,706","17,038","17,068","17,285","17,395","17,487","17,605","17,687","17,993","18,260","18,514","18,552","18,699","18,971","19,157","19,263","19,457","19,798","20,073","20,215","20,343","20,599","20,780","20,963","21,074","21,366","21,639","21,936","22,114","22,399","22,538","22,656","22,970","23,121","23,301","23,449","23,221","23,076","22,966","22,945","23,060","23,353","23,468","23,473","23,470","23,338","23,224","23,303","23,470","23,432","23,312","23,312","23,452","23,620","23,621","24,185","24,092","24,113","24,064","24,399","24,540","24,642","24,760","24,872","24,839","24,898","24,850","24,885","25,011","25,131","25,573","25,747","25,867","25,667"
"Health  [C16]","15,772","15,843","16,124","16,033","16,076","16,116","16,204","16,516","16,402","16,410","16,410","16,455","17,203","17,177","17,188","17,047","17,101","17,170","17,399","17,502","18,201","18,673","19,065","19,524","19,118","19,171","19,365","19,840","20,528","20,987","21,737","21,759","22,266","22,690","22,788","22,723","23,095","23,368","23,828","24,128","24,448","24,825","25,038","25,291","25,809","26,201","26,540","27,027","27,747","28,012","28,327","28,520","28,736","29,059","29,361","29,746","30,452","30,735","31,054","31,497","32,014","32,369","32,624","33,022","33,557","34,354","35,024","35,213","36,054","36,305","36,861","37,306","37,612","37,994","38,413","38,803","39,030","39,055","39,289","39,424","39,824","40,282","40,517","40,885","41,048","41,172","41,201","41,697","41,603","41,996","42,548","42,612","42,833","43,268","43,671","44,273","44,239","44,316","44,782","45,087","45,525","45,778","46,153","46,632","46,987","47,340","47,519","47,741","48,258","48,610","48,968","49,172","49,692"
