"Archived - Household sector, selected indicators, Canada, quarterly, inactive 1"																																																																																																																	
Quarterly																																																																																																																	
Table: 36-10-0435-01 (formerly CANSIM 380-0073)																																																																																																																	
	Seasonally adjusted at annual rates																																																																																																																
	Canada																																																																																																																
Estimates	Q1 1990	Q2 1990	Q3 1990	Q4 1990	Q1 1991	Q2 1991	Q3 1991	Q4 1991	Q1 1992	Q2 1992	Q3 1992	Q4 1992	Q1 1993	Q2 1993	Q3 1993	Q4 1993	Q1 1994	Q2 1994	Q3 1994	Q4 1994	Q1 1995	Q2 1995	Q3 1995	Q4 1995	Q1 1996	Q2 1996	Q3 1996	Q4 1996	Q1 1997	Q2 1997	Q3 1997	Q4 1997	Q1 1998	Q2 1998	Q3 1998	Q4 1998	Q1 1999	Q2 1999	Q3 1999	Q4 1999	Q1 2000	Q2 2000	Q3 2000	Q4 2000	Q1 2001	Q2 2001	Q3 2001	Q4 2001	Q1 2002	Q2 2002	Q3 2002	Q4 2002	Q1 2003	Q2 2003	Q3 2003	Q4 2003	Q1 2004	Q2 2004	Q3 2004	Q4 2004	Q1 2005	Q2 2005	Q3 2005	Q4 2005	Q1 2006	Q2 2006	Q3 2006	Q4 2006	Q1 2007	Q2 2007	Q3 2007	Q4 2007	Q1 2008	Q2 2008	Q3 2008	Q4 2008	Q1 2009	Q2 2009	Q3 2009	Q4 2009	Q1 2010	Q2 2010	Q3 2010	Q4 2010	Q1 2011	Q2 2011	Q3 2011	Q4 2011	Q1 2012	Q2 2012	Q3 2012	Q4 2012	Q1 2013	Q2 2013	Q3 2013	Q4 2013	Q1 2014	Q2 2014	Q3 2014	Q4 2014	Q1 2015	Q2 2015	Q3 2015	Q4 2015	Q1 2016	Q2 2016	Q3 2016	Q4 2016	Q1 2017	Q2 2017	Q3 2017	Q4 2017	Q1 2018
	Dollars																																																																																																																
"Disposable income, adjusted to include interest paid  (x 1,000,000)3"	"448,680"	"439,480"	"452,988"	"460,888"	"466,204"	"460,120"	"467,740"	"470,796"	"465,456"	"473,860"	"486,660"	"480,208"	"481,248"	"500,096"	"485,228"	"482,440"	"490,312"	"494,792"	"495,688"	"502,152"	"506,588"	"511,888"	"511,532"	"514,592"	"517,332"	"518,508"	"519,320"	"523,964"	"526,676"	"528,320"	"542,112"	"547,140"	"550,808"	"553,368"	"567,228"	"576,612"	"577,984"	"586,184"	"593,308"	"600,156"	"609,704"	"621,912"	"635,624"	"646,884"	"665,976"	"652,908"	"667,540"	"671,384"	"679,164"	"680,604"	"692,928"	"700,272"	"709,820"	"707,040"	"710,668"	"717,844"	"727,896"	"743,828"	"751,924"	"755,984"	"756,140"	"773,116"	"779,448"	"792,156"	"819,128"	"823,380"	"847,304"	"864,280"	"882,612"	"883,832"	"890,204"	"906,668"	"922,568"	"936,704"	"953,268"	"948,272"	"941,216"	"942,448"	"959,012"	"971,664"	"993,596"	"983,560"	"997,432"	"1,015,616"	"1,022,632"	"1,024,272"	"1,033,788"	"1,052,536"	"1,059,968"	"1,065,372"	"1,078,284"	"1,084,896"	"1,107,488"	"1,113,464"	"1,120,768"	"1,132,832"	"1,139,932"	"1,145,576"	"1,163,956"	"1,168,052"	"1,189,844"	"1,197,892"	"1,211,636"	"1,218,960"	"1,199,084"	"1,221,012"	"1,243,512"	"1,260,012"	"1,262,008"	"1,282,552"	"1,303,540"	"1,319,356"	"1,331,496"
"Disposable income  (x 1,000,000)3"	"400,780"	"390,164"	"402,504"	"409,740"	"414,716"	"409,508"	"417,688"	"421,588"	"417,492"	"426,412"	"439,924"	"433,132"	"436,868"	"456,172"	"442,276"	"439,672"	"447,588"	"452,084"	"451,684"	"457,140"	"459,368"	"463,284"	"463,188"	"466,384"	"469,436"	"470,940"	"472,532"	"478,072"	"482,388"	"484,376"	"498,248"	"502,728"	"505,220"	"507,404"	"520,116"	"528,640"	"530,920"	"539,708"	"547,032"	"553,544"	"560,088"	"569,576"	"582,324"	"592,008"	"610,656"	"598,788"	"614,928"	"620,648"	"630,208"	"631,784"	"642,892"	"648,500"	"658,668"	"654,940"	"657,040"	"664,608"	"673,536"	"689,816"	"697,888"	"701,528"	"699,288"	"715,132"	"720,336"	"733,108"	"755,388"	"756,184"	"776,900"	"791,560"	"808,076"	"806,272"	"810,408"	"824,016"	"839,484"	"853,884"	"870,592"	"869,180"	"865,900"	"870,240"	"887,092"	"900,024"	"921,412"	"909,972"	"924,156"	"941,156"	"946,344"	"949,532"	"958,688"	"977,264"	"985,164"	"989,740"	"1,002,532"	"1,009,992"	"1,031,608"	"1,037,308"	"1,043,664"	"1,055,732"	"1,062,944"	"1,068,604"	"1,086,440"	"1,089,800"	"1,111,816"	"1,121,120"	"1,134,212"	"1,141,872"	"1,121,520"	"1,142,444"	"1,165,316"	"1,180,888"	"1,181,540"	"1,200,800"	"1,219,692"	"1,232,624"	"1,242,592"
"Interest paid  (x 1,000,000)3"	"47,900"	"49,316"	"50,484"	"51,148"	"51,488"	"50,612"	"50,052"	"49,208"	"47,964"	"47,448"	"46,736"	"47,076"	"44,380"	"43,924"	"42,952"	"42,768"	"42,724"	"42,708"	"44,004"	"45,012"	"47,220"	"48,604"	"48,344"	"48,208"	"47,896"	"47,568"	"46,788"	"45,892"	"44,288"	"43,944"	"43,864"	"44,412"	"45,588"	"45,964"	"47,112"	"47,972"	"47,064"	"46,476"	"46,276"	"46,612"	"49,616"	"52,336"	"53,300"	"54,876"	"55,320"	"54,120"	"52,612"	"50,736"	"48,956"	"48,820"	"50,036"	"51,772"	"51,152"	"52,100"	"53,628"	"53,236"	"54,360"	"54,012"	"54,036"	"54,456"	"56,852"	"57,984"	"59,112"	"59,048"	"63,740"	"67,196"	"70,404"	"72,720"	"74,536"	"77,560"	"79,796"	"82,652"	"83,084"	"82,820"	"82,676"	"79,092"	"75,316"	"72,208"	"71,920"	"71,640"	"72,184"	"73,588"	"73,276"	"74,460"	"76,288"	"74,740"	"75,100"	"75,272"	"74,804"	"75,632"	"75,752"	"74,904"	"75,880"	"76,156"	"77,104"	"77,100"	"76,988"	"76,972"	"77,516"	"78,252"	"78,028"	"76,772"	"77,424"	"77,088"	"77,564"	"78,568"	"78,196"	"79,124"	"80,468"	"81,752"	"83,848"	"86,732"	"88,904"
	Ratio																																																																																																																
Debt service ratio	12.21	12.7	12.48	12.3	12.18	12.13	11.95	11.8	11.77	11.54	11.18	11.54	11.19	10.64	10.93	11.07	11.06	11.06	11.32	11.41	11.89	11.82	11.85	11.84	11.83	11.9	11.96	11.8	11.81	11.84	11.69	11.86	12.15	12.25	12.31	12.21	12.23	12	11.91	12.05	12.17	12.29	12.28	12.28	12.01	12.24	11.95	11.73	11.66	11.78	11.86	11.92	12.02	12.31	12.4	12.43	12.43	12.31	12.37	12.62	13.06	13.12	13.3	13.5	13.43	13.88	13.93	14.01	14.11	14.48	14.8	14.94	14.76	14.62	14.42	14.32	14.12	14.02	13.77	13.73	13.74	14.06	13.97	13.94	13.95	14.03	13.99	13.86	13.81	13.87	13.84	13.93	13.87	13.9	13.99	13.92	13.72	13.78	13.8	13.98	13.88	13.8	13.68	13.59	13.82	13.81	13.64	13.57	13.76	13.78	13.78	13.87	13.86
Mortgage debt service ratio	6.44	6.67	6.6	6.62	6.77	6.92	6.85	6.86	6.87	6.8	6.66	6.74	6.57	6.28	6.37	6.39	6.37	6.23	6.33	6.34	6.5	6.42	6.45	6.39	6.36	6.33	6.29	6.16	6.08	6	5.83	5.78	5.83	5.74	5.74	5.65	5.52	5.36	5.29	5.34	5.42	5.47	5.4	5.35	5.21	5.31	5.19	5.12	5.15	5.16	5.15	5.1	5.16	5.23	5.24	5.26	5.24	5.2	5.2	5.27	5.39	5.4	5.47	5.53	5.46	5.62	5.64	5.65	5.71	5.87	6.01	6.16	6.1	6.12	6.06	6.02	6.06	6.08	6.03	5.99	5.95	6.08	6.01	6.04	6.04	6.05	6.03	6.01	6.01	6.06	6.06	6.1	6.06	6.05	6.14	6.11	6.16	6.19	6.16	6.21	6.14	6.12	6.11	6.13	6.25	6.31	6.24	6.22	6.29	6.3	6.29	6.35	6.41
Non-mortgage debt service ratio	5.76	6.02	5.88	5.68	5.41	5.21	5.1	4.94	4.91	4.74	4.52	4.81	4.62	4.36	4.56	4.68	4.68	4.83	4.99	5.07	5.39	5.4	5.4	5.44	5.47	5.57	5.67	5.64	5.74	5.84	5.87	6.08	6.35	6.53	6.55	6.57	6.73	6.64	6.64	6.7	6.76	6.83	6.87	6.93	6.81	6.93	6.76	6.61	6.52	6.62	6.71	6.81	6.87	7.08	7.16	7.17	7.19	7.12	7.16	7.35	7.68	7.65	7.78	7.92	7.97	8.26	8.29	8.35	8.39	8.62	8.81	8.79	8.67	8.51	8.37	8.32	8.06	7.95	7.76	7.76	7.79	8	7.96	7.91	7.91	7.96	7.95	7.85	7.79	7.8	7.66	7.6	7.59	7.63	7.63	7.6	7.55	7.59	7.63	7.77	7.74	7.68	7.57	7.45	7.57	7.5	7.4	7.35	7.47	7.48	7.48	7.52	7.45
"Debt service ratio, interest only 3"	10.68	11.22	11.14	11.1	11.04	11	10.7	10.45	10.3	10.01	9.6	9.8	9.22	8.78	8.85	8.86	8.71	8.63	8.88	8.96	9.32	9.5	9.45	9.37	9.26	9.17	9.01	8.76	8.41	8.32	8.09	8.12	8.28	8.31	8.31	8.32	8.14	7.93	7.8	7.77	8.14	8.42	8.39	8.48	8.31	8.29	7.88	7.56	7.21	7.17	7.22	7.39	7.21	7.37	7.55	7.42	7.47	7.26	7.19	7.2	7.52	7.5	7.58	7.45	7.78	8.16	8.31	8.41	8.44	8.78	8.96	9.12	9.01	8.84	8.67	8.34	8	7.66	7.5	7.37	7.26	7.48	7.35	7.33	7.46	7.3	7.26	7.15	7.06	7.1	7.03	6.9	6.85	6.84	6.88	6.81	6.75	6.72	6.66	6.7	6.56	6.41	6.39	6.32	6.47	6.43	6.29	6.28	6.38	6.37	6.43	6.57	6.68
"Mortgage debt service ratio, interest only 3"	6.07	6.35	6.28	6.3	6.46	6.58	6.49	6.53	6.46	6.39	6.22	6.35	5.95	5.81	5.89	5.84	5.78	5.63	5.73	5.76	5.87	5.88	5.86	5.79	5.75	5.7	5.59	5.48	5.3	5.26	5.07	4.98	4.97	4.92	4.9	4.86	4.54	4.46	4.35	4.37	4.54	4.54	4.45	4.49	4.35	4.39	4.24	4.14	4.03	4	3.97	3.98	3.97	4.03	4.01	3.97	3.91	3.8	3.76	3.79	3.87	3.87	3.92	3.93	3.91	4.07	4.07	4.09	4.14	4.29	4.41	4.49	4.48	4.38	4.35	4.07	4.04	3.97	3.97	3.9	3.82	3.93	3.83	3.85	3.86	3.84	3.75	3.68	3.67	3.67	3.66	3.62	3.6	3.57	3.62	3.59	3.61	3.58	3.54	3.55	3.46	3.34	3.3	3.27	3.3	3.29	3.24	3.2	3.24	3.26	3.28	3.36	3.45
"Non-mortgage debt service ratio, interest only"	4.6	4.88	4.86	4.8	4.59	4.42	4.21	3.92	3.84	3.63	3.38	3.45	3.27	2.97	2.97	3.03	2.93	3	3.15	3.21	3.45	3.62	3.59	3.57	3.5	3.48	3.42	3.28	3.11	3.06	3.02	3.14	3.31	3.38	3.41	3.46	3.6	3.47	3.45	3.4	3.6	3.87	3.94	3.99	3.96	3.9	3.64	3.42	3.18	3.17	3.25	3.41	3.24	3.34	3.53	3.44	3.56	3.46	3.42	3.42	3.65	3.63	3.66	3.52	3.87	4.09	4.24	4.32	4.3	4.48	4.55	4.63	4.53	4.47	4.32	4.27	3.97	3.69	3.53	3.48	3.45	3.55	3.51	3.48	3.6	3.46	3.51	3.47	3.38	3.43	3.36	3.29	3.26	3.27	3.26	3.22	3.15	3.14	3.12	3.15	3.1	3.07	3.09	3.06	3.17	3.14	3.04	3.08	3.14	3.12	3.15	3.21	3.22
"Of which: consumer debt service ratio, interest only"	3.57	3.81	3.82	3.8	3.67	3.55	3.39	3.15	3.09	2.92	2.73	2.72	2.62	2.39	2.36	2.42	2.33	2.36	2.49	2.54	2.72	2.9	2.89	2.88	2.86	2.85	2.82	2.73	2.57	2.53	2.5	2.59	2.71	2.78	2.79	2.84	3.01	2.9	2.89	2.83	3.03	3.29	3.37	3.42	3.38	3.35	3.11	2.95	2.75	2.74	2.81	2.97	2.81	2.89	3.1	3.02	3.15	3.09	3.05	3.03	3.23	3.22	3.25	3.08	3.41	3.6	3.73	3.81	3.8	3.95	4.01	4.08	4	3.97	3.85	3.83	3.58	3.34	3.2	3.15	3.12	3.19	3.15	3.12	3.23	3.09	3.16	3.11	3.02	3.06	3.01	2.94	2.9	2.92	2.9	2.87	2.79	2.78	2.76	2.8	2.76	2.7	2.73	2.7	2.8	2.77	2.68	2.72	2.68	2.67	2.69	2.74	2.75
																																																																																																																	
Symbol legend:																																																																																																																	
																																																																																																																	
Footnotes:																																																																																																																	
1	"Starting with the second quarter 2018 release, the debt service ratio table 36-10-0435 (formerly CANSIM 380-0073) will be published in the quarterly release of the Financial and Wealth Accounts in table 11-10-0065: National Balance Sheet Accounts, debt service indicators, households on September 14, 2018."																																																																																																																
2	Property incomes are adjusted for the cost of financial services indirectly measured.																																																																																																																
3	Household debt service indicators																																																																																																																
																																																																																																																	
"How to cite: Statistics Canada. Table 36-10-0435-01 Household sector, selected indicators, Canada, quarterly, inactive"																																																																																																																	
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610043501																																																																																																																	
DOI: https://doi.org/10.25318/3610043501-eng																																																																																																																	
