"Archived - Household sector, selected indicators, Canada, quarterly, inactive 1"																																																																																																																	
Quarterly																																																																																																																	
Table: 36-10-0435-01 (formerly CANSIM 380-0073)																																																																																																																	
	Seasonally adjusted at annual rates																																																																																																																
	Canada																																																																																																																
Estimates	Q1 1990	Q2 1990	Q3 1990	Q4 1990	Q1 1991	Q2 1991	Q3 1991	Q4 1991	Q1 1992	Q2 1992	Q3 1992	Q4 1992	Q1 1993	Q2 1993	Q3 1993	Q4 1993	Q1 1994	Q2 1994	Q3 1994	Q4 1994	Q1 1995	Q2 1995	Q3 1995	Q4 1995	Q1 1996	Q2 1996	Q3 1996	Q4 1996	Q1 1997	Q2 1997	Q3 1997	Q4 1997	Q1 1998	Q2 1998	Q3 1998	Q4 1998	Q1 1999	Q2 1999	Q3 1999	Q4 1999	Q1 2000	Q2 2000	Q3 2000	Q4 2000	Q1 2001	Q2 2001	Q3 2001	Q4 2001	Q1 2002	Q2 2002	Q3 2002	Q4 2002	Q1 2003	Q2 2003	Q3 2003	Q4 2003	Q1 2004	Q2 2004	Q3 2004	Q4 2004	Q1 2005	Q2 2005	Q3 2005	Q4 2005	Q1 2006	Q2 2006	Q3 2006	Q4 2006	Q1 2007	Q2 2007	Q3 2007	Q4 2007	Q1 2008	Q2 2008	Q3 2008	Q4 2008	Q1 2009	Q2 2009	Q3 2009	Q4 2009	Q1 2010	Q2 2010	Q3 2010	Q4 2010	Q1 2011	Q2 2011	Q3 2011	Q4 2011	Q1 2012	Q2 2012	Q3 2012	Q4 2012	Q1 2013	Q2 2013	Q3 2013	Q4 2013	Q1 2014	Q2 2014	Q3 2014	Q4 2014	Q1 2015	Q2 2015	Q3 2015	Q4 2015	Q1 2016	Q2 2016	Q3 2016	Q4 2016	Q1 2017	Q2 2017	Q3 2017	Q4 2017	Q1 2018
	Dollars																																																																																																																
"Property income paid  (x 1,000,000)2"	"42,248"	"43,660"	"44,732"	"44,972"	"45,368"	"44,392"	"43,656"	"43,052"	"41,464"	"40,936"	"40,196"	"40,604"	"37,960"	"37,500"	"36,628"	"36,368"	"36,308"	"36,200"	"37,260"	"38,388"	"40,648"	"41,904"	"41,772"	"41,588"	"40,996"	"40,512"	"39,560"	"38,688"	"36,096"	"35,440"	"35,304"	"35,272"	"36,672"	"36,632"	"37,680"	"38,608"	"37,116"	"36,556"	"36,152"	"35,800"	"38,820"	"41,192"	"42,168"	"44,208"	"43,412"	"42,168"	"40,752"	"38,484"	"36,932"	"36,520"	"37,276"	"38,472"	"38,884"	"38,440"	"39,628"	"39,372"	"40,096"	"39,868"	"39,820"	"40,840"	"41,848"	"42,864"	"44,264"	"44,260"	"48,124"	"52,224"	"53,820"	"56,360"	"57,888"	"60,484"	"61,700"	"65,180"	"65,040"	"64,416"	"65,260"	"60,968"	"59,084"	"55,832"	"54,692"	"52,628"	"53,260"	"53,944"	"53,976"	"55,392"	"55,516"	"55,064"	"54,572"	"53,168"	"55,268"	"55,424"	"55,976"	"55,724"	"55,700"	"55,568"	"56,696"	"56,964"	"55,344"	"55,688"	"55,920"	"56,476"	"57,168"	"56,096"	"55,612"	"55,260"	"55,440"	"56,748"	"56,292"	"57,140"	"58,376"	"59,768"	"61,748"	"64,180"	"66,296"
"Current transfers paid  (x 1,000,000)"	"169,968"	"190,140"	"182,188"	"181,780"	"178,244"	"191,816"	"188,812"	"187,264"	"197,212"	"194,528"	"185,288"	"193,060"	"199,228"	"183,748"	"200,268"	"203,968"	"199,324"	"202,044"	"209,876"	"210,156"	"213,100"	"214,688"	"219,988"	"219,712"	"220,832"	"222,892"	"227,920"	"231,192"	"233,920"	"241,604"	"240,168"	"241,920"	"250,584"	"257,188"	"249,232"	"253,572"	"256,612"	"261,588"	"264,584"	"270,004"	"278,592"	"282,940"	"283,716"	"281,868"	"282,556"	"298,896"	"285,348"	"285,368"	"282,160"	"284,980"	"283,512"	"291,612"	"286,976"	"294,444"	"300,376"	"304,912"	"313,832"	"312,220"	"317,612"	"325,280"	"334,716"	"339,004"	"347,100"	"347,468"	"357,752"	"358,980"	"362,312"	"365,756"	"368,680"	"396,360"	"402,096"	"400,796"	"412,828"	"398,852"	"393,872"	"394,056"	"393,636"	"386,632"	"381,352"	"379,444"	"367,044"	"395,952"	"394,012"	"402,012"	"411,944"	"422,900"	"428,032"	"421,864"	"434,904"	"443,236"	"445,460"	"452,276"	"450,060"	"453,888"	"460,640"	"466,364"	"471,860"	"478,080"	"478,252"	"487,180"	"493,124"	"502,128"	"506,264"	"512,800"	"521,112"	"513,776"	"510,104"	"513,272"	"521,204"	"524,032"	"526,532"	"535,188"	"540,016"
"Household final consumption expenditure  (x 1,000,000)"	"374,900"	"373,876"	"378,464"	"382,312"	"382,412"	"391,612"	"394,264"	"394,784"	"397,288"	"400,492"	"405,592"	"408,968"	"412,612"	"416,424"	"420,808"	"425,796"	"431,248"	"432,664"	"436,960"	"443,576"	"444,792"	"450,188"	"455,676"	"456,632"	"464,312"	"468,684"	"472,268"	"482,724"	"491,920"	"497,892"	"505,192"	"511,604"	"512,908"	"520,624"	"525,556"	"528,760"	"537,572"	"545,512"	"555,400"	"564,004"	"572,472"	"580,504"	"592,704"	"598,040"	"603,368"	"611,620"	"613,452"	"620,192"	"631,476"	"645,152"	"653,440"	"663,636"	"669,808"	"674,132"	"683,776"	"684,024"	"697,320"	"705,876"	"713,584"	"721,156"	"734,944"	"745,104"	"754,228"	"761,972"	"775,884"	"785,876"	"796,332"	"803,732"	"818,184"	"834,340"	"843,528"	"859,764"	"870,040"	"877,400"	"885,140"	"868,212"	"862,864"	"870,096"	"882,900"	"896,948"	"908,216"	"916,116"	"927,528"	"941,944"	"949,260"	"959,944"	"967,516"	"978,924"	"986,724"	"990,216"	"997,436"	"1,005,808"	"1,017,832"	"1,029,228"	"1,041,512"	"1,050,644"	"1,062,196"	"1,079,200"	"1,090,288"	"1,100,540"	"1,100,968"	"1,109,800"	"1,125,372"	"1,134,620"	"1,141,352"	"1,146,008"	"1,157,888"	"1,174,068"	"1,189,520"	"1,204,544"	"1,212,748"	"1,226,856"	"1,237,348"
"Total debt payments  (x 1,000,000)"	"54,772"	"55,796"	"56,528"	"56,708"	"56,804"	"55,828"	"55,880"	"55,572"	"54,796"	"54,704"	"54,412"	"55,428"	"53,848"	"53,224"	"53,020"	"53,404"	"54,212"	"54,732"	"56,132"	"57,292"	"60,220"	"60,508"	"60,592"	"60,924"	"61,212"	"61,704"	"62,104"	"61,832"	"62,224"	"62,564"	"63,392"	"64,900"	"67,044"	"67,900"	"69,720"	"70,452"	"70,848"	"70,340"	"70,752"	"72,308"	"74,276"	"76,492"	"77,988"	"79,404"	"80,052"	"79,916"	"79,756"	"78,752"	"79,216"	"80,172"	"82,176"	"83,440"	"85,360"	"87,028"	"88,124"	"89,244"	"90,476"	"91,600"	"92,964"	"95,436"	"98,788"	"100,892"	"103,308"	"106,588"	"110,028"	"114,320"	"118,044"	"121,052"	"124,520"	"128,032"	"131,864"	"135,540"	"136,284"	"137,112"	"137,584"	"135,928"	"132,968"	"132,232"	"132,168"	"133,560"	"136,612"	"138,408"	"139,424"	"141,684"	"142,580"	"143,528"	"144,532"	"145,860"	"146,272"	"147,620"	"147,952"	"148,688"	"151,184"	"152,376"	"154,376"	"155,244"	"156,348"	"157,832"	"160,588"	"163,348"	"165,148"	"165,360"	"165,744"	"165,616"	"165,700"	"168,628"	"169,600"	"171,004"	"173,676"	"176,796"	"179,576"	"182,956"	"184,568"
"Mortgage debt payments  (x 1,000,000)"	"28,916"	"29,328"	"29,904"	"30,508"	"31,572"	"31,860"	"32,048"	"32,304"	"31,956"	"32,240"	"32,424"	"32,352"	"31,604"	"31,428"	"30,900"	"30,824"	"31,244"	"30,836"	"31,384"	"31,840"	"32,932"	"32,888"	"32,984"	"32,908"	"32,896"	"32,844"	"32,660"	"32,280"	"31,996"	"31,708"	"31,588"	"31,652"	"32,092"	"31,744"	"32,584"	"32,592"	"31,924"	"31,432"	"31,360"	"32,068"	"33,060"	"34,000"	"34,324"	"34,580"	"34,676"	"34,684"	"34,628"	"34,380"	"34,944"	"35,136"	"35,696"	"35,740"	"36,624"	"36,960"	"37,232"	"37,772"	"38,152"	"38,660"	"39,124"	"39,852"	"40,752"	"41,780"	"42,644"	"43,812"	"44,748"	"46,284"	"47,784"	"48,872"	"50,440"	"51,884"	"53,476"	"55,820"	"56,284"	"57,356"	"57,792"	"57,048"	"57,080"	"57,328"	"57,796"	"58,168"	"59,168"	"59,752"	"59,980"	"61,364"	"61,720"	"61,980"	"62,372"	"63,284"	"63,700"	"64,516"	"65,344"	"66,200"	"67,140"	"67,412"	"68,808"	"69,180"	"70,240"	"70,872"	"71,720"	"72,540"	"73,068"	"73,328"	"73,996"	"74,772"	"74,884"	"77,032"	"77,572"	"78,420"	"79,380"	"80,856"	"82,008"	"83,756"	"85,308"
"Non-mortgage debt payments  (x 1,000,000)"	"25,856"	"26,468"	"26,624"	"26,200"	"25,232"	"23,968"	"23,832"	"23,268"	"22,840"	"22,464"	"21,988"	"23,076"	"22,244"	"21,796"	"22,120"	"22,580"	"22,968"	"23,896"	"24,748"	"25,452"	"27,288"	"27,620"	"27,608"	"28,016"	"28,316"	"28,860"	"29,444"	"29,552"	"30,228"	"30,856"	"31,804"	"33,248"	"34,952"	"36,156"	"37,136"	"37,860"	"38,924"	"38,908"	"39,392"	"40,240"	"41,216"	"42,492"	"43,664"	"44,824"	"45,376"	"45,232"	"45,128"	"44,372"	"44,272"	"45,036"	"46,480"	"47,700"	"48,736"	"50,068"	"50,892"	"51,472"	"52,324"	"52,940"	"53,840"	"55,584"	"58,036"	"59,112"	"60,664"	"62,776"	"65,280"	"68,036"	"70,260"	"72,180"	"74,080"	"76,148"	"78,388"	"79,720"	"80,000"	"79,756"	"79,792"	"78,880"	"75,888"	"74,904"	"74,372"	"75,392"	"77,444"	"78,656"	"79,444"	"80,320"	"80,860"	"81,548"	"82,160"	"82,576"	"82,572"	"83,104"	"82,608"	"82,488"	"84,044"	"84,964"	"85,568"	"86,064"	"86,108"	"86,960"	"88,868"	"90,808"	"92,080"	"92,032"	"91,748"	"90,844"	"90,816"	"91,596"	"92,028"	"92,584"	"94,296"	"95,940"	"97,568"	"99,200"	"99,260"
"Interest paid  (x 1,000,000)3"	"47,900"	"49,316"	"50,484"	"51,148"	"51,488"	"50,612"	"50,052"	"49,208"	"47,964"	"47,448"	"46,736"	"47,076"	"44,380"	"43,924"	"42,952"	"42,768"	"42,724"	"42,708"	"44,004"	"45,012"	"47,220"	"48,604"	"48,344"	"48,208"	"47,896"	"47,568"	"46,788"	"45,892"	"44,288"	"43,944"	"43,864"	"44,412"	"45,588"	"45,964"	"47,112"	"47,972"	"47,064"	"46,476"	"46,276"	"46,612"	"49,616"	"52,336"	"53,300"	"54,876"	"55,320"	"54,120"	"52,612"	"50,736"	"48,956"	"48,820"	"50,036"	"51,772"	"51,152"	"52,100"	"53,628"	"53,236"	"54,360"	"54,012"	"54,036"	"54,456"	"56,852"	"57,984"	"59,112"	"59,048"	"63,740"	"67,196"	"70,404"	"72,720"	"74,536"	"77,560"	"79,796"	"82,652"	"83,084"	"82,820"	"82,676"	"79,092"	"75,316"	"72,208"	"71,920"	"71,640"	"72,184"	"73,588"	"73,276"	"74,460"	"76,288"	"74,740"	"75,100"	"75,272"	"74,804"	"75,632"	"75,752"	"74,904"	"75,880"	"76,156"	"77,104"	"77,100"	"76,988"	"76,972"	"77,516"	"78,252"	"78,028"	"76,772"	"77,424"	"77,088"	"77,564"	"78,568"	"78,196"	"79,124"	"80,468"	"81,752"	"83,848"	"86,732"	"88,904"
"Mortgage interest paid  (x 1,000,000)3"	"27,248"	"27,888"	"28,464"	"29,020"	"30,108"	"30,260"	"30,360"	"30,752"	"30,084"	"30,256"	"30,288"	"30,504"	"28,632"	"29,056"	"28,556"	"28,152"	"28,348"	"27,868"	"28,396"	"28,908"	"29,728"	"30,092"	"29,956"	"29,820"	"29,768"	"29,540"	"29,036"	"28,724"	"27,920"	"27,784"	"27,512"	"27,244"	"27,364"	"27,240"	"27,772"	"28,004"	"26,232"	"26,132"	"25,796"	"26,228"	"27,684"	"28,248"	"28,260"	"29,056"	"28,972"	"28,656"	"28,324"	"27,764"	"27,356"	"27,248"	"27,496"	"27,860"	"28,152"	"28,516"	"28,524"	"28,508"	"28,480"	"28,260"	"28,300"	"28,628"	"29,260"	"29,936"	"30,564"	"31,140"	"32,016"	"33,524"	"34,472"	"35,364"	"36,560"	"37,924"	"39,264"	"40,672"	"41,316"	"40,984"	"41,512"	"38,560"	"37,984"	"37,448"	"38,076"	"37,868"	"37,920"	"38,676"	"38,240"	"39,092"	"39,504"	"39,328"	"38,772"	"38,740"	"38,940"	"39,128"	"39,468"	"39,240"	"39,824"	"39,776"	"40,568"	"40,632"	"41,124"	"41,032"	"41,256"	"41,464"	"41,148"	"40,036"	"39,952"	"39,840"	"39,520"	"40,204"	"40,340"	"40,364"	"40,868"	"41,780"	"42,760"	"44,372"	"45,992"
"Non-mortgage interest paid  (x 1,000,000)3"	"20,652"	"21,428"	"22,020"	"22,128"	"21,380"	"20,352"	"19,692"	"18,456"	"17,880"	"17,192"	"16,448"	"16,572"	"15,748"	"14,868"	"14,396"	"14,616"	"14,376"	"14,840"	"15,608"	"16,104"	"17,492"	"18,512"	"18,388"	"18,388"	"18,128"	"18,028"	"17,752"	"17,168"	"16,368"	"16,160"	"16,352"	"17,168"	"18,224"	"18,724"	"19,340"	"19,968"	"20,832"	"20,344"	"20,480"	"20,384"	"21,932"	"24,088"	"25,040"	"25,820"	"26,348"	"25,464"	"24,288"	"22,972"	"21,600"	"21,572"	"22,540"	"23,912"	"23,000"	"23,584"	"25,104"	"24,728"	"25,880"	"25,752"	"25,736"	"25,828"	"27,592"	"28,048"	"28,548"	"27,908"	"31,724"	"33,672"	"35,932"	"37,356"	"37,976"	"39,636"	"40,532"	"41,980"	"41,768"	"41,836"	"41,164"	"40,532"	"37,332"	"34,760"	"33,844"	"33,772"	"34,264"	"34,912"	"35,036"	"35,368"	"36,784"	"35,412"	"36,328"	"36,532"	"35,864"	"36,504"	"36,284"	"35,664"	"36,056"	"36,380"	"36,536"	"36,468"	"35,864"	"35,940"	"36,260"	"36,788"	"36,880"	"36,736"	"37,472"	"37,248"	"38,044"	"38,364"	"37,856"	"38,760"	"39,600"	"39,972"	"41,088"	"42,360"	"42,912"
"Of which: consumer debt  (x 1,000,000)3"	"16,024"	"16,732"	"17,300"	"17,504"	"17,092"	"16,324"	"15,860"	"14,848"	"14,372"	"13,828"	"13,268"	"13,048"	"12,612"	"11,936"	"11,440"	"11,656"	"11,400"	"11,692"	"12,348"	"12,776"	"13,760"	"14,844"	"14,796"	"14,800"	"14,816"	"14,784"	"14,624"	"14,280"	"13,552"	"13,384"	"13,564"	"14,168"	"14,904"	"15,408"	"15,812"	"16,372"	"17,380"	"16,988"	"17,124"	"16,960"	"18,444"	"20,468"	"21,420"	"22,152"	"22,516"	"21,884"	"20,788"	"19,808"	"18,700"	"18,660"	"19,476"	"20,816"	"19,932"	"20,432"	"22,032"	"21,680"	"22,956"	"22,952"	"22,912"	"22,884"	"24,420"	"24,884"	"25,304"	"24,432"	"27,960"	"29,628"	"31,636"	"32,948"	"33,520"	"34,908"	"35,716"	"37,036"	"36,916"	"37,228"	"36,668"	"36,312"	"33,724"	"31,444"	"30,672"	"30,604"	"31,008"	"31,380"	"31,428"	"31,648"	"32,996"	"31,612"	"32,620"	"32,736"	"32,048"	"32,580"	"32,428"	"31,868"	"32,172"	"32,484"	"32,548"	"32,468"	"31,824"	"31,904"	"32,176"	"32,652"	"32,808"	"32,332"	"33,128"	"32,872"	"33,584"	"33,788"	"33,352"	"34,244"	"33,828"	"34,232"	"35,048"	"36,152"	"36,628"
